ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender,price_per_ml,price_per_ml_clip,combined_notes,price_log,notes_token_count,cluster
HRMN-0896,Royal Essenza,Azwary Perfume,450000.0,50.0,Edp,"pomelo, bergamot, freesia","pomegranate, pineapple, watermelon","sandalwood, cedar, white musk",Day,Female,9000.0,9000.0,"pomelo, bergamot, freesia, pomegranate, pineapple, watermelon, sandalwood, cedar, white musk",13.017005083966255,9,1
HRMN-0897,Guardian Woman,Azwary Perfume,375000.0,50.0,Edp,"melon, apple, peach","freesia, jasmine, tuberose","musk, ylang ylang, sandalwood",Day,Female,7500.0,7500.0,"melon, apple, peach, freesia, jasmine, tuberose, musk, ylang ylang, sandalwood",12.834683971615659,9,0
HRMN-0898,Calista,Azwary Perfume,450000.0,50.0,Edp,"red pepper, nutmeg, plum, apple","freesia, peony, jasmine","musk, amber, sandalwood",Versatile,Female,9000.0,9000.0,"red pepper, nutmeg, plum, apple, freesia, peony, jasmine, musk, amber, sandalwood",13.017005083966255,10,1
HRMN-0899,Alexandria,Azwary Perfume,625000.0,50.0,Edp,"rose, black currant, pear","violet, jasmine","vanilla, dupa, white musk",Night,Female,12500.0,12500.0,"rose, black currant, pear, violet, jasmine, vanilla, dupa, white musk",13.345508528717259,8,1
HRMN-0900,Valencia,Azwary Perfume,250000.0,50.0,Edp,"passionfruit, pamelo, watermelon","parmaviolet, jasmine, tuberose","sandalwood, musk, vetiver",Day,Unisex,5000.0,5000.0,"passionfruit, pamelo, watermelon, parmaviolet, jasmine, tuberose, sandalwood, musk, vetiver",12.429220196836383,9,4
HRMN-0901,Mademoiselle,Azwary Perfume,400000.0,50.0,Edp,"red pepper, nutmeg, plum, apple","freesia, peony, jasmine","musk, amber, sandalwood",Versatile,Unisex,8000.0,8000.0,"red pepper, nutmeg, plum, apple, freesia, peony, jasmine, musk, amber, sandalwood",12.899222326086994,10,1
HRMN-0902,Inspiration,Azwary Perfume,225000.0,50.0,Edp,"lavender, martini, bergamot","lilac, green tea, orchid","musk, cedar",Versatile,Unisex,4500.0,4500.0,"lavender, martini, bergamot, lilac, green tea, orchid, musk, cedar",12.323860125621126,8,4
HRMN-0903,Happy Feel,Azwary Perfume,300000.0,50.0,Edp,"freesia, green apple, strawberry","rose tea, magnolia, redberry","white musk, cedar, amber",Versatile,Unisex,6000.0,6000.0,"freesia, green apple, strawberry, rose tea, magnolia, redberry, white musk, cedar, amber",12.611541086966115,9,1
HRMN-0904,Choco Lover,Azwary Perfume,150000.0,50.0,Edp,"chocolate, vanilla, cherry","vanilla, chocolate, basil","chocolate, vanilla, amber, musk",Night,Unisex,3000.0,3000.0,"chocolate, vanilla, cherry, vanilla, chocolate, basil, chocolate, vanilla, amber, musk",11.918397239722838,10,1
HRMN-0905,The Dreamer Women,Azwary Perfume,300000.0,50.0,Edp,"peach, redberry","jasmine, peony","amber, patchouli",Versatile,Female,6000.0,6000.0,"peach, redberry, jasmine, peony, amber, patchouli",12.611541086966115,6,1
